Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,74.8452412
FDW14,OUT017,206.524502
NCN55,OUT010,131.1000148
FDQ58,OUT017,237.62402
FDY38,OUT027,220.4756752
FDH56,OUT046,91.9176848
FDL48,OUT018,1061.800529
FDC48,OUT027,206.025152
FDN33,OUT045,118.4817732
FDA36,OUT017,206.724242
FDT44,OUT017,255.20114
FDQ56,OUT045,138.8232948
NCC54,OUT019,129.078646
FDU11,OUT049,124.9626704
DRL59,OUT013,196.8783916
FDM24,OUT049,115.0395872
FDI57,OUT045,79.0357864
DRC12,OUT018,1024.073638
NCM42,OUT027,219.5888296
FDA46,OUT010,130.1812108
FDA31,OUT013,220.6208196
NCJ31,OUT035,612.342918
FDG52,OUT046,76.3219856
NCL19,OUT019,74.83592
FDS10,OUT035,645.1602
FDX22,OUT010,71.9064
NCF19,OUT035,699.4934748
NCE06,OUT046,125.1783896
DRC27,OUT046,74.63618
FDE21,OUT035,667.6948668
NCR42,OUT019,75.188794
FDX51,OUT018,1021.955062
NCR06,OUT018,873.4843256
FDU31,OUT027,220.8977924
FDU59,OUT017,242.8092704
FDR03,OUT027,201.4670852
FDS49,OUT027,198.614798
FDD48,OUT010,73.2459896
NCF18,OUT017,230.6690732
NCD43,OUT027,219.5888296
NCD54,OUT018,873.4843256
FDY19,OUT010,91.7512348
NCY54,OUT017,230.6690732
NCL19,OUT018,985.7808168
FDP23,OUT010,74.3139328
FDC26,OUT013,210.1411276
FDR14,OUT010,129.245096
NCS41,OUT035,685.2000804
FDF41,OUT035,615.8197256
FDU34,OUT046,106.4094876
DRH11,OUT046,113.38574
FDM03,OUT013,208.308846
FDS31,OUT017,217.1986076
FDJ20,OUT017,266.4185384
FDV44,OUT027,220.8977924
FDG02,OUT049,80.3913552
FDA09,OUT013,216.8870132
FDT04,OUT013,206.3194356
FDL58,OUT019,120.8040836
FDE52,OUT045,70.5748
FDW12,OUT035,669.2341964
FDL51,OUT017,206.524502
NCY42,OUT027,219.5888296
FDR07,OUT017,249.8374552
FDN40,OUT045,132.6553236
FDB35,OUT027,219.694026
FDA22,OUT017,250.0838012
NCL06,OUT046,73.4230924
